Year;Australia;Austria;Belgium;Canada;Chile;Colombia;Costa Rica;Czechia;Denmark;Estonia;Finland;France;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Japan;Korea;Latvia;Lithuania;Luxembourg;Mexico;Netherlands;New Zealand;Norway;Poland;Portugal;Slovak Republic;Slovenia;Spain;Sweden;Switzerland;Türkiye;United Kingdom;United States;European Union – 27 countries (from 01/02/2020);Euro area (19 countries);OECD - Total;  Albania;  Argentina;  Brazil;  Bulgaria;  Cameroon;  China (People's Republic of);  Croatia;  Cyprus;  India;  Indonesia;  Malta;  Morocco;  Romania;  Russia;  Saudi Arabia;  Senegal;  South Africa
1975;361286,226;163924,444;205787,325;..;..;66282,471;..;..;144106,668;..;97829,928;1101083,793;1576771,277;120532,17;..;..;45485,475;..;989454,134;1822397,101;102531,097;..;..;13901,976;400266,779;328125,396;..;131499,638;..;82377,809;..;..;500960,151;222853,489;..;154172,117;1186272,977;5913414,038;..;..;..;..;..;..;..;..;308161,139;..;..;217603,564;..;..;..;..;..;242473,951;..;136731,262
1976;374275,009;171429,635;217419,959;..;..;69360,43;..;..;152644,421;..;98166,837;1149055,359;1654809,762;128790,912;..;..;46119,91;..;1059956,552;1894837,095;116087,192;..;..;14254,298;416671,155;342747,68;..;139160,194;..;88062,069;..;..;517510,83;225211,512;..;170300,471;1220796,678;6232037,023;..;..;..;..;..;..;..;..;303353,422;..;..;221222,536;..;..;..;..;..;285685,172;..;139807,543
1977;377618,71;180138,227;218781,345;..;..;72267,391;..;..;155499,316;..;98401,957;1188862,221;1710199,854;132578,655;..;..;49906,955;..;1087096,748;1978026,847;130407,687;..;..;14478,058;431107,006;351386,431;70082,953;144950,253;..;92995,832;..;..;532200,759;221616,554;..;176101,867;1250800,814;6520215,954;..;..;..;..;..;..;..;..;326335,399;..;..;237271,711;..;..;..;..;..;305949,849;..;139676,137
1978;392913,872;179758,76;224998,885;..;..;78415,271;..;..;158961,21;..;101275,007;1236161,625;1761651,095;142186,448;..;..;53493,632;..;1122320,202;2082307,266;144691,223;..;..;15068,035;467196,634;360860,676;70306,212;150558,892;..;95614,563;..;..;539986,874;225498,274;..;178748,683;1303387,739;6881129,791;..;..;..;..;..;..;..;..;364397,291;..;..;250825,933;..;..;..;..;..;289980,105;..;143886,657
1979;404841,549;189387,897;230266,273;..;..;82673,981;..;..;165111,597;..;108487,738;1280045,228;1834766,016;146853,122;..;..;55137,511;..;1189201,052;2196501,867;157237,727;..;..;15421,472;509848,012;368129,01;71847,166;157142,089;..;101006,208;..;..;540211,22;234157,416;..;177633,022;1352251,961;7098996,359;..;..;..;..;..;..;..;..;392064,944;..;..;237687,213;..;..;..;..;..;324544,085;..;149340,692
1980;418362,714;192667,121;240499,43;..;..;86110,012;..;..;164314,13;..;114334,194;1300253,882;1860614,725;147847,51;..;..;56835,376;..;1229990,843;2258390,311;154650,085;..;..;15551,149;552499,39;373068,985;72769,865;164314,436;..;105641,726;..;..;552143,017;238138,025;377720,174;173285,8;1324782,751;7080769,709;..;..;..;..;..;..;..;..;422773,952;..;..;253697,399;..;..;..;..;..;342888,802;..;159227,946
1981;432274,17;192389,113;239827,755;700526,958;..;88237,53;..;..;163219,594;..;115838,693;1314153,854;1870461,853;145550,372;..;..;58725,275;..;1240374,766;2354611,841;165856,303;..;..;15465,47;601086,363;370145,573;76157,777;166940,746;..;107351,119;..;..;551411,601;239221,15;383768,743;181701,615;1314346,856;7260459,769;..;..;..;..;..;..;..;..;444384,59;..;..;268934,981;..;..;..;..;..;349551,147;..;167763,794
1982;422658,361;196258,547;241254,699;678199,327;..;89232,233;..;..;169233,539;..;119439,063;1347078,619;1863076,507;143901,799;..;..;60066,248;..;1245504,778;2431837,052;179685,531;..;..;15640,43;596836,27;365552,967;76865,804;167333,595;..;109643,468;..;..;558284,735;242208,22;378743,608;188176,288;1340566,646;7129561,854;..;..;..;..;..;..;..;..;484463,346;..;..;278282,443;..;..;..;..;..;277089,584;..;167120,598
1983;442065,61;202093,486;242007,034;695841,594;..;90759,081;..;..;173626,964;..;123161,478;1363794,045;1892371,711;142349,642;..;..;59919,506;..;1260067,263;2520117,566;203720,581;..;..;16107,934;571197,031;373119,76;79549,593;173981,771;..;109453,661;..;..;568167,022;246811,723;381164,08;197530,543;1397163,444;7456374,792;..;..;..;..;..;..;..;..;536633,654;..;..;298566,153;..;..;..;..;..;232612,865;..;164034,634
1984;465400,169;202197,11;247975,853;736955,096;..;93495,403;..;..;180860,503;..;127149,068;1384438,09;1945792,377;145211,696;..;..;62528,624;..;1300715,173;2631276,932;225216,444;..;..;17104,523;591757,689;384543,49;83362,166;184511,812;..;107395,955;..;..;578307,027;257250,711;392631,236;210788,708;1428866,552;7995965,282;..;..;..;..;..;..;..;..;618162,505;..;..;309973,583;..;..;..;..;..;221769,728;..;172398,963
1985;483856,693;207249,366;252071,901;771867,606;..;96320,755;..;..;188101,708;..;131661,457;1406904,493;1991089,163;148855,866;..;..;64458,017;..;1337110,299;2767045,767;242870,854;..;..;17582,031;608162,806;394465,403;84708,744;194758,5;..;110411,031;..;..;591732,054;262808,288;407054,921;219729,211;1488127,578;8329369,546;..;..;..;..;..;..;..;..;701186,342;..;..;326260,522;..;..;..;..;..;200048,487;..;170310,301
1986;496255,77;212018,988;256666,572;788423,95;52458,727;101877,79;..;..;197326,552;..;135289,564;1439787,74;2036632,128;149626,433;..;..;64181,923;..;1375351,278;2858193,572;270381,47;..;..;19337,409;585332,862;405459,059;87000,659;202630,857;..;114983,103;..;..;610983,002;269881,309;414620,577;235136,569;1535008,665;8617786,125;..;..;..;..;..;..;..;..;763935,552;..;..;341844,565;..;..;..;..;..;234082,229;..;170340,733
1987;524809,869;214896,442;262586,996;820536,135;55917,999;107587,24;..;..;197828,286;..;140125,931;1476673,666;2065188,797;146246,576;..;..;67174,785;..;1419251,949;2991067,03;304783,976;..;..;20101,426;596195,159;413289,481;87845,295;206183,983;..;122320,628;..;..;644874,978;278932,704;421194,296;257440,967;1617787,665;8915897,063;..;..;..;..;..;..;..;..;852995,53;..;..;355399,917;..;..;..;..;..;218556,734;..;173919,122
1988;545165,405;221979,171;274989,528;856722,69;60006,323;112445,116;..;..;197801,379;..;147436,511;1546714,398;2141750,213;152517,427;..;..;70679,572;..;1478780,73;3190321,044;341320,612;..;..;21802,666;603620,4;427511,676;87534,606;205657,952;..;131481,352;..;..;677727;286070,7;434999,344;262899,619;1710525,946;9288319,548;..;..;..;..;..;..;..;..;948717,904;..;..;389617,05;..;..;..;..;..;247208,02;..;181223,906
