Year;Total;0 to 4;5 to 9;10 to 14;15 to 19;20 to 24;25 to 29;30 to 34;35 to 39;40 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 79;80 to 84;85 and over;50 and over;Under 20;15 to 64;20 to 64;65 and over;Share of under 15 - children;Share of 15 to 24 - youth;Share of 15 to 64 - working age;Share of 65 and over - elderly;Young age dependency ratio (<20/20-64);Old age dependency ratio (65 and over/20-64);Total dependency ratio ((<20 & 65+) / 20-64)
1970;53821798;4588965;4556252;4079887;3856566;4096439;3535006;3859369;3695508;3703041;3625340;2384467;3160457;2817528;2229098;1604284;1075340;575152;379099;14225425;17081670;34733721;30877155;5862973;24,57202192;14,7765502;64,53467236;10,89330572;55,32138567;18,98806091;74,30944658
1971;54073525;4475196;4600857;4167077;3841560;4126435;3486787;3866277;3654412;3727595;3613050;2537731;3052124;2889901;2284579;1676903;1091260;613262;368519;14514279;17084690;34795872;30954312;6034523;24,49096855;14,73548284;64,34918382;11,15984763;55,19324739;19,49493499;74,68818238
1972;54381345;4399930;4640666;4242564;3880843;4033739;3603487;3818078;3655111;3709713;3622879;2796006;2833328;2945391;2334405;1738110;1115597;655227;356271;14774335;17164003;34898575;31017732;6199610;24,42594974;14,55385482;64,17379894;11,40025132;55,33609936;19,98730919;75,32340856
1973;54751405;4379387;4651880;4334724;3931451;3924484;3761247;3750738;3684156;3689660;3631122;3121868;2555754;2978725;2395008;1787094;1138962;668413;366732;15012556;17297442;35029205;31097754;6356209;24,41214248;14,34837152;63,97864128;11,60921624;55,62280157;20,43944717;76,06224874
1974;55110870;4355487;4621156;4455515;3982119;3848563;3908994;3642227;3740924;3683427;3622066;3417606;2327843;2986891;2465647;1833809;1165074;676259;377263;15250392;17414277;35160660;31178541;6518052;24,37297397;14,20896095;63,7998638;11,82716223;55,85340571;20,90557092;76,75897663
1975;55440999;4318498;4563332;4554906;4057680;3818299;4045363;3500821;3806677;3654047;3642792;3536351;2293280;2970781;2527442;1871306;1210531;681176;387717;15478584;17494416;35326091;31268411;6678172;24,23610007;14,20605534;63,71835219;12,04554774;55,94916864;21,35756755;77,30673618
1976;55718266;4255303;4500930;4624227;4148173;3819070;4076584;3486717;3827580;3619249;3672423;3534451;2446662;2880435;2582844;1901586;1257656;688903;395473;15688010;17528633;35511344;31363171;6826462;24,01449464;14,2991582;63,73375654;12,25174883;55,88922434;21,76585397;77,65507831
1977;55955407;4146157;4456438;4679115;4229682;3865794;3983479;3617083;3795687;3618744;3659463;3545997;2700130;2681262;2636635;1937092;1295603;702775;404271;15903765;17511392;35697321;31467639;6976376;23,73624054;14,46772785;63,79601707;12,46774239;55,6488906;22,17000138;77,81889197
1978;56155142;3995229;4428087;4695054;4327567;3919307;3880423;3762154;3732519;3648175;3641396;3552063;3016126;2418470;2683740;1991747;1328688;718746;415651;16125231;17445937;35898200;31570633;7138572;23,36094173;14,68587507;63,92682615;12,71223212;55,26001648;22,61143133;77,87144781
1979;56317750;3812150;4391733;4668184;4452797;3974850;3810562;3897220;3630935;3702705;3635684;3547208;3297435;2203533;2708951;2057411;1361648;737143;427601;16340930;17324864;36152929;31700132;7292754;22,85614571;14,9644597;64,194555;12,94929929;54,65234025;23,00543733;77,65777758
1980;56433876;3616614;4338985;4614264;4569470;4042521;3790505;4017565;3502600;3760349;3611700;3566788;3413403;2169325;2708379;2119266;1393592;764290;434260;16569303;17139333;36444226;31874756;7419787;22,27361275;15,26032166;64,57863359;13,14775366;53,77086808;23,27794133;77,04880941
1981;56501674;3424322;4249644;4560335;4654857;4124450;3803303;4030579;3497139;3784461;3573981;3590959;3416896;2316117;2636835;2177481;1426046;792482;441787;16798603;16889158;36792742;32137885;7474631;21,65298855;15,53813609;65,11796801;13,22904344;52,55217635;23,25800531;75,81018166
1982;56543539;3277030;4116394;4510591;4705124;4207757;3848351;3933027;3620447;3761202;3563800;3577725;3423920;2558421;2455559;2240174;1465508;822150;456359;16999816;16609139;37199774;32494650;7439750;21,05282975;15,76286373;65,78961037;13,15755988;51,11345714;22,89530738;74,00876452
1983;56564076;3179198;3960698;4461132;4709990;4302651;3898415;3836519;3746071;3696630;3590797;3558172;3423833;2852471;2207262;2298968;1520689;849123;471457;17181975;16311018;37615549;32905559;7347499;20,50953329;15,93350698;66,50077516;12,98969155;49,56918677;22,32905085;71,89823762
1984;56576719;3095372;3780468;4407419;4671191;4422467;3949935;3775296;3866208;3595012;3641588;3551146;3417440;3110706;2007050;2332780;1585964;876840;489837;17371763;15954450;38000989;33329798;7292471;19,94328975;16,07314486;67,16718409;12,88952617;47,86842693;21,87973356;69,74816049
1985;56593070;3032850;3588058;4343121;4605402;4536433;4008600;3761430;3979132;3468305;3695665;3527978;3435071;3216589;1977758;2339275;1651403;913807;512193;17574074;15569431;38234605;33629203;7394436;19,37344802;16,15362976;67,56057765;13,06597433;46,29735352;21,9881393;68,28549282
1986;56596157;2972955;3417131;4246935;4542298;4617402;4082661;3778725;3992109;3459601;3721299;3491383;3457375;3221694;2114596;2278856;1713099;951842;536196;17765041;15179319;38364547;33822249;7594589;18,79459943;16,18431442;67,78648769;13,41891288;44,87968556;22,4544175;67,33410306
1987;56601936;2903035;3283936;4112148;4492942;4664939;4166266;3824782;3902980;3581014;3704163;3483063;3449309;3232606;2341741;2124240;1776833;990381;567558;17965731;14792061;38502064;34009122;7800753;18,19570094;16,17944835;68,02252135;13,78177771;43,49439248;22,93723725;66,43162973
1988;56629290;2849349;3174913;3958663;4450928;4676018;4263101;3877337;3814012;3711092;3645820;3514344;3438290;3239583;2620677;1915781;1838302;1040373;600707;18208057;14433853;38630525;34179597;8015840;17,62855406;16,11700588;68,21650951;14,15493643;42,22944173;23,4521197;65,68156143
1989;56671778;2816056;3082486;3778079;4403715;4645780;4385950;3930468;3759275;3835362;3550328;3569470;3439454;3241419;2866676;1750678;1880528;1098689;637365;18484279;14080336;38761221;34357506;8233936;17,07484985;15,96825672;68,39598539;14,52916476;40,98183378;23,96546478;64,94729856
1990;56719239;2791637;3010176;3586041;4344305;4590352;4506362;3989671;3749856;3951564;3430153;3627694;3424237;3267353;2973170;1739081;1899355;1158104;680128;18769122;13732159;38881547;34537242;8449838;16,55144562;15,7524275;68,55089681;14,89765757;39,76043889;24,46587368;64,22631257
1991;56758522;2700562;2897257;3403782;4257182;4559674;4617881;4080614;3782094;3981179;3434386;3667588;3403327;3305121;2992657;1876771;1863469;1215432;719546;19043911;13258783;39089046;34831864;8667875;15,85947041;15,53397744;68,86903433;15,27149527;38,06509752;24,88490137;62,94999889
1992;56797078;2649374;2784026;3252348;4123387;4534607;4692704;4181993;3839743;3907461;3564734;3663330;3407233;3311632;3014258;2091380;1744795;1275447;758626;19266701;12809135;39226824;35103437;8884506;15,29259657;15,24373138;69,06486281;15,64254063;36,48968903;25,30950459;61,79919362
1993;56831823;2690036;2732995;3135755;3959251;4487395;4706050;4281280;3889006;3819003;3693728;3606184;3439434;3305797;3023895;2346889;1575748;1333540;805837;19437324;12518037;39187128;35227877;9085909;15,05984772;14,86252869;68,95279076;15,98736152;35,53446323;25,79181539;61,32627862
1994;56843400;2701290;2703768;3039648;3771671;4432816;4677080;4406126;3939690;3763158;3816261;3510921;3495041;3310347;3028935;2569298;1444215;1375119;858016;19591892;12216377;39123111;35351440;9275583;14,85608883;14,43349096;68,82612757;16,31778359;34,55694308;26,23820416;60,79514724
1995;56844301;2698550;2687046;2967318;3576677;4364116;4619017;4526427;3997148;3750929;3929908;3390073;3552869;3298734;3056533;2666947;1446427;1399001;916581;19727165;11929591;39005898;35429221;9485489;14,69437367;13,96937399;68,61883657;16,68678976;33,6716153;26,77306679;60,44468209
1996;56860279;2694377;2687990;2902249;3413249;4262598;4563483;4614556;4071729;3766442;3945759;3381868;3582233;3272615;3089059;2681117;1574480;1376616;979859;19937847;11697865;38874532;35461283;9701131;14,570129;13,49948881;68,36852137;17,06134963;32,98770944;27,35696562;60,34467506
1997;56890371;2674335;2722151;2838045;3288676;4124942;4520753;4667293;4160335;3807819;3862034;3498117;3569595;3269511;3095222;2696789;1761946;1287996;1044812;20223988;11523207;38769075;35480399;9886765;14,47438443;13,03141089;68,14698923;17,37862634;32,47767028;27,86542789;60,34309817
1998;56906744;2641185;2754118;2795753;3187089;3971103;4481045;4681695;4264150;3855132;3778346;3621837;3516031;3302485;3097308;2708317;1979010;1163221;1108919;20497128;11378145;38658913;35471824;10056775;14,39382299;12,5788114;67,93379885;17,67237816;32,07657153;28,35144593;60,42801746
1999;56916316;2626582;2751748;2779569;3103730;3796361;4431221;4657516;4389530;3906556;3725016;3740328;3423786;3359306;3107241;2717871;2165358;1069870;1164727;20748487;11261629;38533350;35429620;10225067;14,33314658;12,1232214;67,70176411;17,96508931;31,78591529;28,86022204;60,64613733
2000;56942108;2625714;2728037;2779488;3041045;3618077;4371108;4607511;4508181;3968181;3713164;3853361;3305459;3418931;3103057;2751864;2251123;1085391;1212416;20981602;11174284;38405018;35363973;10403851;14,28334722;11,69454773;67,44572575;18,27092703;31,5979316;29,41935003;61,01728163
2001;56976976;2620983;2690781;2797634;2982512;3468841;4282989;4558987;4596944;4048055;3728058;3874388;3295471;3451129;3084878;2794487;2269390;1199293;1232156;21201192;11091910;38287374;35304862;10580204;14,23276307;11,32273675;67,19797485;18,56926208;31,41751411;29,96812167;61,38563578
2002;57089823;2631904;2656633;2826160;2914325;3350467;4166101;4535679;4663887;4148322;3773966;3803829;3412784;3447356;3090729;2816719;2293294;1354191;1203477;21422379;11029022;38216716;35302391;10758410;14,21391165;10,97357054;66,94138113;18,84470723;31,24157228;30,47501797;61,71659024
2003;57399187;2665824;2642191;2835814;2866693;3265000;4069885;4550775;4722994;4282275;3844613;3740776;3548869;3407557;3136161;2833228;2320754;1523905;1141873;21653123;11010522;38299437;35432744;10955921;14,18805636;10,68254329;66,72470291;19,08724073;31,07442652;30,92032895;61,99475547
2004;57828178;2702894;2653514;2823631;2853158;3201333;3969380;4574424;4759219;4447488;3931104;3709717;3685298;3328756;3205651;2854836;2347593;1670844;1109338;21912033;11033197;38459877;35606719;11188262;14,14542059;10,46979381;66,50715677;19,34742264;30,98627818;31,42177183;62,40805001
2005;58166684;2732706;2681783;2805080;2858380;3135856;3824126;4568223;4752019;4596833;4019890;3715454;3815558;3223203;3276922;2863398;2393801;1749225;1154227;22191788;11077949;38509542;35651162;11437573;14,13105997;10,30527372;66,2054966;19,66344342;31,07317792;32,08190802;63,15508594
2006;58399863;2754637;2709108;2783227;2881375;3067490;3669647;4512296;4726979;4709465;4116762;3746678;3849750;3226398;3319991;2858751;2443186;1778029;1246094;22468877;11128347;38506840;35625465;11646051;14,12156052;10,18643657;65,93652454;19,94191493;31,23705754;32,69024278;63,92730032
2007;58756247;2780659;2736810;2765935;2919576;3026783;3564037;4432386;4726524;4803600;4233577;3813161;3786097;3354020;3320254;2875903;2467768;1807370;1341787;22766360;11202980;38659761;35740185;11813082;14,09791201;10,12038601;65,79685221;20,10523579;31,34561279;33,05266047;64,39827326
2008;59211183;2807700;2768604;2763225;2945127;3031495;3496021;4342405;4738149;4874076;4371636;3894841;3722760;3493701;3280829;2928753;2486120;1835901;1429840;23072745;11284656;38910211;35965084;11961443;14,08438166;10,09373854;65,71429421;20,20132413;31,37669858;33,25848759;64,63518617
2009;59555456;2821405;2795552;2776560;2944187;3047242;3428337;4201571;4728811;4895662;4525903;3978417;3689800;3628982;3206898;3000914;2511820;1861961;1511434;23390226;11337704;39068912;36124725;12093027;14,09361554;10,06025208;65,60089474;20,30548973;31,38488667;33,4757621;64,86064877
2010;59819402;2818398;2808917;2800277;2929266;3063198;3376984;4034554;4704413;4880842;4672960;4068119;3700182;3757143;3107682;3072206;2527303;1903389;1593569;23729593;11356858;39187661;36258395;12204149;14,08839226;10,01759262;65,5099511;20,40165664;31,3220097;33,65882301;64,98083271
2011;60026844;2799263;2814778;2823022;2906814;3087356;3336018;3882097;4645683;4858310;4788515;4167805;3740647;3789678;3115637;3116736;2533095;1947342;1674048;24084988;11343877;39202923;36296109;12386858;14,05548324;9,985815679;65,30898576;20,635531;31,25369995;34,12723386;65,38093381
2012;60191243;2772754;2828046;2833924;2880882;3112697;3296557;3765420;4550376;4839728;4875495;4273996;3809635;3721407;3242060;3115813;2557239;1972459;1742755;24435364;11315606;39126193;36245311;12630326;14,01320787;9,957559773;65,00313177;20,98366036;31,21950312;34,84678611;66,06628924
2013;60311616;2734672;2841751;2838794;2857966;3112635;3272297;3674996;4436944;4821366;4931152;4392895;3884064;3651822;3372942;3072875;2610818;1996092;1807535;24789043;11273183;39036137;36178171;12860262;13,95289591;9,899587171;64,72407737;21,32302673;31,16017944;35,54702088;66,70720032
2014;60320708;2673719;2843310;2843173;2848928;3079912;3250877;3588467;4282026;4791716;4936118;4531964;3956000;3614087;3496092;2999600;2680475;2027120;1877124;25182462;11209130;38880095;36031167;13080411;13,85958865;9,828863415;64,45563437;21,68477698;31,10953914;36,30304564;67,41258478
2015;60229599;2601804;2833299;2838983;2855339;3035850;3227200;3514500;4104284;4749872;4903089;4663251;4031929;3618731;3610735;2903389;2745711;2047214;1944419;25565379;11129425;38704045;35848706;13251468;13,73757444;9,781219032;64,26083793;22,00158762;31,04554178;36,96498278;68,01052456
2016;60115220;2527532;2810077;2831636;2866993;2996807;3217317;3446653;3945955;4677238;4866954;4764496;4118958;3653038;3635051;2907171;2782807;2057096;2009441;25928058;11036238;38554409;35687416;13391566;13,58931232;9,754268553;64,13418931;22,27649836;30,92473268;37,52461652;68,4493492
2017;60002254;2452784;2772794;2833501;2875087;2971623;3216245;3379393;3815517;4566803;4834450;4839953;4214834;3715723;3567253;3024765;2779144;2081306;2061079;26284057;10934166;38429628;35554541;13513547;13,43129376;9,744150611;64,04697397;22,52173227;30,7532194;38,00793547;68,76115487
2018;59877216;2376519;2721828;2838934;2876551;2961684;3196118;3333386;3706493;4438495;4801782;4885978;4325512;3784757;3501741;3149657;2740256;2130825;2106700;26625426;10813832;38310756;35434205;13629179;13,2559286;9,750344772;63,98219316;22,76187824;30,51806016;38,46334072;68,98140088
2019;59729077;2301646;2659615;2838461;2872365;2959097;3152047;3301471;3613460;4279747;4767522;4888840;4462453;3856203;3469861;3269891;2678405;2197125;2160868;26983646;10672087;38153205;35280840;13776150;13,0585008;9,763187869;63,87710461;23,06439458;30,24895949;39,04711452;69,29607402
2020;59438845;2240524;2603149;2838378;2864033;2956614;3087037;3254293;3527721;4098017;4721132;4847189;4580726;3919723;3472673;3382767;2595611;2254750;2194508;27247947;10546084;37856485;34992452;13900309;12,92429387;9,792665049;63,68980588;23,38590025;30,13816808;39,72373528;69,86190336
2021;59133173;2179673;2550829;2832669;2861564;2940341;3023461;3218898;3448061;3938328;4651185;4812457;4679549;3999690;3500887;3405047;2598363;2280943;2211228;27488164;10424735;37573534;34711970;13996468;12,79006455;9,811590865;63,54053418;23,66940127;30,0321042;40,3217334;70,3538376
2022;58940424;2112152;2492066;2807766;2877164;2927450;2994800;3213814;3380239;3812595;4549368;4792089;4765398;4101099;3558358;3336395;2702187;2271975;2245509;27773010;10289148;37414016;34536852;14114424;12,5753829;9,848273233;63,47768384;23,94693326;29,79179457;40,86772008;70,65951465
2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
