STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TIME_HORIZ,Time horizon,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1970,,25314426,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1971,,25243689,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1972,,26033859.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1973,,27085640,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1974,,28101331.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1975,,29243498.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1976,,30097750,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1977,,30390447.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1978,,30506289,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1979,,30552020.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1980,,30691542.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1981,,30879375.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1982,,31068781,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1983,,31239212,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1984,,31403005,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1985,,31543884.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1986,,31678027,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1987,,31742868,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1988,,31866811.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1989,,32101856.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1990,,32484903.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1991,,32811002,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1992,,33069415,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1993,,33305660.5,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1994,,33290559,,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST(1.0),Historical population data,I,EU27,European Union (27 countries),POP,Population,PS,Persons,_T,Total,Y25T29,From 25 to 29 years,H,Historical,1995,,33110302.5,,A,Normal value,0,Units,0,Zero
